comments,keywords
: BLG 3:0 虐菜屠殺局    十點前沒結束算G2贏,"[':', ' ', 'BLG', ' ', '3', ':', '0', ' ', '虐菜', '屠殺局', ' ', ' ', ' ', ' ', '十點', '前', '沒', '結束', '算', 'G2', '贏']"
: G2會贏,"[':', ' ', 'G2', '會贏']"
: G2會贏，只要贏一把就是G2的巨大勝利,"[':', ' ', 'G2', '會贏', '，', '只要', '贏', '一把', '就是', 'G2', '的', '巨大', '勝利']"
: g2 打滿bo5算贏,"[':', ' ', 'g2', ' ', '打滿', 'bo5', '算贏']"
: G2加油點 我把這個月抽輪椅的一單下在你們身上了,"[':', ' ', 'G2', '加油', '點', ' ', '我', '把', '這個', '月', '抽輪椅', '的', '一單', '下', '在', '你', '們', '身上', '了']"
: 應該是MAD太爛 不是G2強,"[':', ' ', '應該', '是', 'MAD', '太爛', ' ', '不是', 'G2', '強']"
: 都打幾個bo5了 還想爆冷喔 BLG最多搞笑一場,"[':', ' ', '都', '打', '幾個', 'bo5', '了', ' ', '還想', '爆冷', '喔', ' ', 'BLG', '最多', '搞笑', '一場']"
: Let's Go G2,"[':', ' ', 'Let', ""'"", 's', ' ', 'Go', ' ', 'G2']"
: G2加油,"[':', ' ', 'G2', '加油']"
: lets go G2,"[':', ' ', 'lets', ' ', 'go', ' ', 'G2']"
: 希望G2至少能拿下一場,"[':', ' ', '希望', 'G2', '至少', '能', '拿下', '一場']"
: 在入圍賽沒碰到我們算BLG好運 他們不必浪費生命陪玩,"[':', ' ', '在', '入', '圍賽', '沒', '碰到', '我們', '算', 'BLG', '好運', ' ', '他們', '不必', '浪費', '生命', '陪', '玩']"
: G2贏一場算贏,"[':', ' ', 'G2', '贏一場', '算贏']"
: 歐美最後機會了,"[':', ' ', '歐美', '最後機會', '了']"
: Let's Go G2,"[':', ' ', 'Let', ""'"", 's', ' ', 'Go', ' ', 'G2']"
: 老實說偷一場就很棒了,"[':', ' ', '老實', '說', '偷', '一場', '就', '很棒', '了']"
: 歐洲就專門送冠軍給LPL的,"[':', ' ', '歐洲', '就', '專門', '送', '冠軍給', 'LPL', '的']"
: 是說今天沒有樂透ㄇ,"[':', ' ', '是', '說', '今天', '沒有', '樂透', 'ㄇ']"
: 請問最後的勝部冠軍有輸一次BO的機會嗎??,"[':', ' ', '請問', '最', '後', '的', '勝部', '冠軍有', '輸', '一次', 'BO', '的', '機會', '嗎', '?', '?']"
: 回19樓 沒有 雖然不知道你是認真問還是來亂,"[':', ' ', '回', '19', '樓', ' ', '沒有', ' ', '雖然', '不', '知道', '你', '是', '認真問', '還是', '來', '亂']"
: 0,"[':', ' ', '0']"
: 因為有些賽制 敗部要贏兩次,"[':', ' ', '因為', '有些', '賽制', ' ', '敗部要', '贏兩次']"
: 希望ELK的發揮和前天打JDG一樣好,"[':', ' ', '希望', 'ELK', '的', '發揮', '和', '前天', '打', 'JDG', '一樣', '好']"
: 拳頭在MSI預告片說過 這個就是完全雙敗 不接受反駁,"[':', ' ', '拳頭', '在', 'MSI', '預告片', '說過', ' ', '這個', '就是', '完全', '雙敗', ' ', '不', '接受', '反駁']"
: 能拿一場就算雞兔贏了吧,"[':', ' ', '能', '拿', '一場', '就算', '雞', '兔贏', '了', '吧']"
: BLG虐這些爛賽區還是隨便虐  雖然WBG TES EDG比較強,"[':', ' ', 'BLG', '虐', '這些', '爛賽區', '還是', '隨便', '虐', ' ', ' ', '雖然', 'WBG', ' ', 'TES', ' ', 'EDG', '比', '較強']"
: 別吹那個白痴WBG了,"[':', ' ', '別吹', '那個', '白痴', 'WBG', '了']"
: 還在吹TES WBG EDG 熊哥真愛,"[':', ' ', '還在', '吹', 'TES', ' ', 'WBG', ' ', 'EDG', ' ', '熊哥', '真愛']"
: 夏季賽我還是看好WBG TES EDG出國  加油吧,"[':', ' ', '夏季', '賽', '我', '還是', '看好', 'WBG', ' ', 'TES', ' ', 'EDG', '出國', ' ', ' ', '加油', '吧']"
: G2希望全在Caps身上，能不能回神一下,"[':', ' ', 'G2', '希望', '全在', 'Caps', '身上', '，', '能', '不能', '回', '神', '一下']"
: G2先選邊？,"[':', ' ', 'G2', '先選邊', '？']"
: WBG夏季找了丹尼又不給他能玩輪盤的材料+不練角老,"[':', ' ', 'WBG', '夏季', '找', '了', '丹尼', '又', '不給', '他', '能', '玩', '輪盤', '的', '材料', '+', '不練角', '老']"
: 人是要打三小,"[':', ' ', '人', '是', '要', '打三小']"
: 真的 caps回神感覺有的打 牙膏頗爛,"[':', ' ', '真的', ' ', 'caps', '回神', '感覺', '有', '的', '打', ' ', '牙膏', '頗爛']"
: Caps請神吧，請一下2019的自己吧,"[':', ' ', 'Caps', '請神', '吧', '，', '請', '一下', '2019', '的', '自己', '吧']"
: caps目前打了好幾場，沒一場看起來有回神的,"[':', ' ', 'caps', '目前', '打', '了', '好', '幾場', '，', '沒一場', '看', '起來', '有', '回神', '的']"
: 牙膏本來就爛 開季前我就講了 JDG團隊都知道你不知?,"[':', ' ', '牙膏', '本來', '就爛', ' ', '開季', '前', '我', '就', '講了', ' ', 'JDG', '團隊', '都', '知道', '你', '不知', '?']"
: 熊哥 丹尼都跑去wbg了你還能看好？？？,"[':', ' ', '熊哥', ' ', '丹尼', '都', '跑', '去', 'wbg', '了', '你', '還能', '看好', '？', '？', '？']"
: 神左就是海放牙膏 所以JDG才高價換人 很難懂嗎,"[':', ' ', '神', '左', '就是', '海放', '牙膏', ' ', '所以', 'JDG', '才', '高價換', '人', ' ', '很難', '懂', '嗎']"
: Caps從季後賽就在爛了,"[':', ' ', 'Caps', '從', '季後賽', '就', '在爛', '了']"
: 永遠支持shy哥的隊伍!! 希望WBG出國 唯一破口16強JG,"[':', ' ', '永遠', '支持', 'shy', '哥', '的', '隊伍', '!', '!', ' ', '希望', 'WBG', '出國', ' ', '唯一', '破口', '16', '強', 'JG']"
: 熊哥 G2還有四強實力嗎,"[':', ' ', '熊哥', ' ', 'G2', '還有', '四強', '實力', '嗎']"
: 要繼續靠Blade打穿對面，不太可能了,"[':', ' ', '要', '繼續', '靠', 'Blade', '打穿', '對面', '，', '不太可能', '了']"
: Hansama打穿Elk也很難，希望全在Caps身上,"[':', ' ', 'Hansama', '打穿', 'Elk', '也', '很', '難', '，', '希望', '全在', 'Caps', '身上']"
: 不用問我EU NA吧  全部組一隊都打不贏LPL LCK#4,"[':', ' ', '不用', '問我', 'EU', ' ', 'NA', '吧', ' ', ' ', '全部', '組一隊', '都', '打', '不贏', 'LPL', ' ', 'LCK', '#', '4']"
: 還有一個機會…等xun送,"[':', ' ', '還有', '一個', '機會', '…', '等', 'xun', '送']"
: PCS是多窮 主播檯一張椅子都不放==?,"[':', ' ', 'PCS', '是', '多', '窮', ' ', '主播', '檯', '一張', '椅子', '都', '不放', '=', '=', '?']"
: 英文台那麼早就上呼吸器了= =,"[':', ' ', '英文', '台', '那麼', '早就', '上', '呼吸器', '了', '=', ' ', '=']"
: 但你需要等對手送才有機會那說明情況不樂觀了,"[':', ' ', '但', '你', '需要', '等', '對', '手', '送', '才', '有', '機會', '那', '說明', '情況', '不樂觀', '了']"
: Xun再怎麼送，也不可能送三場,"[':', ' ', 'Xun', '再', '怎麼', '送', '，', '也', '不', '可能', '送三場']"
: JATT那大衣上面都是呼吸罩？？,"[':', ' ', 'JATT', '那', '大衣', '上面', '都', '是', '呼吸', '罩', '？', '？']"
: 打Bo5，靠送的，沒用,"[':', ' ', '打', 'Bo5', '，', '靠', '送', '的', '，', '沒用']"
: 應該能贏一場...吧?,"[':', ' ', '應該', '能', '贏一場', '...', '吧', '?']"
: 可是Xun真的很能送欸,"[':', ' ', '可是', 'Xun', '真的', '很能', '送', '欸']"
: 這周打完就沒了 終於能看LPL了,"[':', ' ', '這周', '打', '完', '就', '沒', '了', ' ', '終於能', '看', 'LPL', '了']"
: BLG上個Bo最戳的是雙C吧 Xun倒還好,"[':', ' ', 'BLG', '上個', 'Bo', '最', '戳', '的', '是雙', 'C', '吧', ' ', 'Xun', '倒', '還好']"
: BrokenBlade真的有強嗎,"[':', ' ', 'BrokenBlade', '真的', '有強', '嗎']"
: BLG教練聽我說 不用ban納帝魯斯,"[':', ' ', 'BLG', '教練', '聽', '我', '說', ' ', '不用', 'ban', '納帝', '魯斯']"
: 笑死 英文台把BB吹上天了,"[':', ' ', '笑', '死', ' ', '英文', '台', '把', 'BB', '吹', '上天', '了']"
: 又再鞭屍G2,"[':', ' ', '又', '再', '鞭屍', 'G2']"
: 這兩隊中路都超爛,"[':', ' ', '這兩隊', '中路', '都', '超爛']"
: ZOD這麼看好G2喔…,"[':', ' ', 'ZOD', '這麼', '看好', 'G2', '喔', '…']"
: Blade拿出蛇女虐MAD，實力差距很大,"[':', ' ', 'Blade', '拿出', '蛇', '女虐', 'MAD', '，', '實力', '差距', '很大']"
: 畢竟BLG已經是G2唯一有機會打贏的隊伍了 其他三隊..,"[':', ' ', '畢竟', 'BLG', '已經', '是', 'G2', '唯一', '有', '機會', '打贏', '的', '隊伍', '了', ' ', '其他', '三隊', '..']"
: G2能3：0，那真的是靠上路打出來的,"[':', ' ', 'G2', '能', '3', '：', '0', '，', '那', '真的', '是', '靠', '上路', '打出', '來', '的']"
: 不怕蜜月來這製造不好的回憶嗎,"[':', ' ', '不怕', '蜜月', '來', '這', '製', '造', '不好', '的', '回憶', '嗎']"
: 真的要看哪邊中路這BO5看起來像個人,"[':', ' ', '真的', '要', '看', '哪邊', '中路', '這', 'BO5', '看起', '來', '像', '個', '人']"
: 上個zod看好的隊 GAM,"[':', ' ', '上個', 'zod', '看好', '的', '隊', ' ', 'GAM']"
: Bin對線還是不錯的 他的問題是打團很糟糕,"[':', ' ', 'Bin', '對線', '還是', '不錯', '的', ' ', '他', '的', '問題', '是', '打團', '很', '糟糕']"
: 除非CAPS能像以前一樣CARRY 不然感覺機會不大,"[':', ' ', '除非', 'CAPS', '能', '像', '以前', '一樣', 'CARRY', ' ', '不然', '感覺', '機會', '不大']"
: Caps你這個最戳的還敢說話啊,"[':', ' ', 'Caps', '你', '這個', '最', '戳', '的', '還敢', '說', '話', '啊']"
: Let's go G2,"[':', ' ', 'Let', ""'"", 's', ' ', 'go', ' ', 'G2']"
: G2最大破口在中路 剛好牙膏這次MSI超爛  G2不是沒機,"[':', ' ', 'G2', '最大', '破口', '在', '中路', ' ', '剛好', '牙膏', '這次', 'MSI', '超爛', ' ', ' ', 'G2', '不是', '沒機']"
: 會,"[':', ' ', '會']"
: LET'S GO G2!,"[':', ' ', 'LET', ""'"", 'S', ' ', 'GO', ' ', 'G2', '!']"
: 相信老雞！,"[':', ' ', '相信', '老雞', '！']"
: 這兩隊才是嗆聲嘛XD,"[':', ' ', '這兩隊', '才', '是', '嗆', '聲', '嘛', 'XD']"
: 尊重ban蛇女,"[':', ' ', '尊重', 'ban', '蛇', '女']"
: 賽前訪問兩邊都好嗆,"[':', ' ', '賽前', '訪問', '兩邊', '都', '好', '嗆']"
: 不給caps混了,"[':', ' ', '不給', 'caps', '混', '了']"
: 給yike茂凱？,"[':', ' ', '給', 'yike', '茂凱', '？']"
: 今天粵語台也太香了吧.以前都不知道有妹子= =,"[':', ' ', '今天', '粵語', '台', '也', '太香', '了', '吧', '.', '以前', '都', '不', '知道', '有', '妹子', '=', ' ', '=']"
: zod的字母M都唸N  變成NSI,"[':', ' ', 'zod', '的', '字母', 'M', '都', '唸', 'N', ' ', ' ', '變成', 'NSI']"
: 我記得Yike季後賽拿茂凱好像都輸= =,"[':', ' ', '我', '記得', 'Yike', '季後賽', '拿茂凱', '好像', '都', '輸', '=', ' ', '=']"
: G2 gogo,"[':', ' ', 'G2', ' ', 'gogo']"
: 開抓,"[':', ' ', '開抓']"
: GG人,"[':', ' ', 'GG', '人']"
: 粵語台妹子很久就有啦,"[':', ' ', '粵語', '台', '妹子', '很久', '就', '有', '啦']"
: 放達瑞文但不敢拿了,"[':', ' ', '放達', '瑞文', '但', '不敢', '拿', '了']"
: 感覺blg不會禁用bb的角色,"[':', ' ', '感覺', 'blg', '不會', '禁用', 'bb', '的', '角色']"
: 有樹人和gg人 瑞斯叔叔和歐拉夫效果應該很好,"[':', ' ', '有樹人', '和', 'gg', '人', ' ', '瑞斯', '叔叔', '和', '歐', '拉夫', '效果', '應該', '很', '好']"
: 那些東西賓應該不是很怕,"[':', ' ', '那些', '東西賓', '應該', '不是', '很', '怕']"
: 黑甲怎麼都沒人拿,"[':', ' ', '黑甲', '怎麼', '都', '沒人', '拿']"
: 兩邊都不會玩 哈,"[':', ' ', '兩邊', '都', '不會', '玩', ' ', '哈']"
: 會出歐拉夫嗎？,"[':', ' ', '會出', '歐', '拉夫', '嗎', '？']"
: 甲黑人竟然沒人ban,"[':', ' ', '甲', '黑人', '竟然', '沒人', 'ban']"
: 滑起來,"[':', ' ', '滑起', '來']"
: 點數毆印雞兔,"[':', ' ', '點數', '毆', '印雞', '兔']"
: 又開大啦,"[':', ' ', '又', '開大', '啦']"
: 哈賽,"[':', ' ', '哈賽']"
: 滑!!!,"[':', ' ', '滑', '!', '!', '!']"
: 挖靠   這套學GG的,"[':', ' ', '挖靠', ' ', ' ', ' ', '這套', '學', 'GG', '的']"
: bin練角,"[':', ' ', 'bin', '練角']"
: 這很G2,"[':', ' ', '這', '很', 'G2']"
: 賓你怎麼玩這隻,"[':', ' ', '賓你', '怎麼', '玩', '這', '隻']"
: 這jinx膚質有點差,"[':', ' ', '這', 'jinx', '膚質', '有點', '差']"
: GG人看起來有點尷尬欸 要抓誰,"[':', ' ', 'GG', '人看', '起來', '有點', '尷尬', '欸', ' ', '要', '抓', '誰']"
: 蠻像的欸XD,"[':', ' ', '蠻', '像', '的', '欸', 'XD']"
: Caps Yasuo,"[':', ' ', 'Caps', ' ', 'Yasuo']"
: 下G2了   坦克的上路BLG應該不配贏,"[':', ' ', '下', 'G2', '了', ' ', ' ', ' ', '坦克', '的', '上路', 'BLG', '應該', '不配', '贏']"
: 完蛋 BLG惡夢陣,"[':', ' ', '完蛋', ' ', 'BLG', '惡夢陣']"
: BP G2創意贏了,"[':', ' ', 'BP', ' ', 'G2', '創意贏', '了']"
: 醜 哪來的,"[':', ' ', '醜', ' ', '哪來', '的']"
: 真的被我猜到會選犽宿,"[':', ' ', '真的', '被', '我', '猜', '到', '會', '選', '犽', '宿']"
: :........,"[':', ' ', ':', '........']"
: 相信老雞！,"[':', ' ', '相信', '老雞', '！']"
: 阿賓又玩坦喔,"[':', ' ', '阿賓', '又', '玩坦', '喔']"
: 可惜右邊不會玩牙素 不然右邊搶牙素能康超多人,"[':', ' ', '可惜', '右邊', '不會', '玩牙素', ' ', '不然', '右邊', '搶牙素', '能康', '超多人']"
: BLG PTSD,"[':', ' ', 'BLG', ' ', 'PTSD']"
: 下BLG了 我覺得GG人很尷尬捏,"[':', ' ', '下', 'BLG', '了', ' ', '我覺', '得', 'GG', '人', '很', '尷尬', '捏']"
: G2會贏吧...,"[':', ' ', 'G2', '會贏', '吧', '...']"
: 敢不敢殺爛賽勒斯，壓爛賽勒斯這場就贏了,"[':', ' ', '敢不敢', '殺爛賽', '勒斯', '，', '壓爛賽', '勒斯', '這場', '就', '贏了']"
: 覺得G2稍微強一點,"[':', ' ', '覺得', 'G2', '稍微', '強一點']"
: 主場最後希望,"[':', ' ', '主場', '最', '後', '希望']"
: 講道理右邊陣容怎麼看都比較好 不過情感相信G2一場,"[':', ' ', '講', '道理', '右邊', '陣容', '怎麼', '看', '都', '比', '較', '好', ' ', '不過', '情感', '相信', 'G2', '一場']"
: 究竟今天是claps還是craps呢,"[':', ' ', '究竟', '今天', '是', 'claps', '還是', 'craps', '呢']"
: 相信韓總,"[':', ' ', '相信', '韓總']"
: g2選的還行,"[':', ' ', 'g2', '選', '的', '還行']"
: CHEWSDAY好靠北wwww,"[':', ' ', 'CHEWSDAY', '好', '靠北', 'wwww']"
: 這場看中路 只要牙宿沒被殺崩 大東就不用輸出,"[':', ' ', '這場', '看', '中路', ' ', '只要', '牙宿', '沒', '被', '殺', '崩', ' ', '大東', '就', '不用', '輸出']"
: G2加油啊,"[':', ' ', 'G2', '加油', '啊']"
: Caps好好打，不然G2要徵招小呆瓜上場了,"[':', ' ', 'Caps', '好好', '打', '，', '不然', 'G2', '要', '徵招', '小呆瓜', '上場', '了']"
: 阿BIN 不會玩黑甲?,"[':', ' ', '阿', 'BIN', ' ', '不會', '玩', '黑甲', '?']"
: 下路被壓了,"[':', ' ', '下路', '被', '壓', '了']"
: 我要求不多贏一場就100分,"[':', ' ', '我', '要求', '不多贏', '一場', '就', '100', '分']"
: 醜,"[':', ' ', '醜']"
: 上下都醜,"[':', ' ', '上下', '都醜']"
: EU DIVE,"[':', ' ', 'EU', ' ', 'DIVE']"
: Hans Chan,"[':', ' ', 'Hans', ' ', 'Chan']"
: 哇黑甲沒死,"[':', ' ', '哇', '黑甲', '沒死']"
: 阿BIN狀態越來越好耶,"[':', ' ', '阿', 'BIN', '狀態', '越來', '越', '好', '耶']"
: 沒了 GG 0:3,"[':', ' ', '沒', '了', ' ', 'GG', ' ', '0', ':', '3']"
: bin也太神了八 這樣可以沒死,"[':', ' ', 'bin', '也', '太神', '了', '八', ' ', '這樣', '可以', '沒死']"
: 下路炸了，兩波兵進塔，GG,"[':', ' ', '下路', '炸', '了', '，', '兩波兵', '進塔', '，', 'GG']"
: 好久沒看到經典犽宿了,"[':', ' ', '好久', '沒', '看到', '經', '典', '犽', '宿', '了']"
: 結束了 g2gg,"[':', ' ', '結束', '了', ' ', 'g2gg']"
: 兩波兵沒吃到，沒什麼救了,"[':', ' ', '兩波兵', '沒', '吃', '到', '，', '沒什麼', '救', '了']"
: G2超爛的  PSG還打不贏就知道PSG有多爛= =,"[':', ' ', 'G2', '超爛', '的', ' ', ' ', 'PSG', '還打', '不贏', '就', '知道', 'PSG', '有多爛', '=', ' ', '=']"
: 看光光,"[':', ' ', '看', '光光']"
: 上下都沒救了,"[':', ' ', '上下', '都', '沒救', '了']"
: Mikyx根本不會玩機器人,"[':', ' ', 'Mikyx', '根本', '不會', '玩', '機器', '人']"
: g2的下路太爛了,"[':', ' ', 'g2', '的', '下路', '太爛', '了']"
: GGGGG,"[':', ' ', 'GGGGG']"
: G2下路真破爛,"[':', ' ', 'G2', '下路', '真破爛']"
: 薛之謙！！！,"[':', ' ', '薛之謙', '！', '！', '！']"
: 沒有魔量什麼東東XD,"[':', ' ', '沒有', '魔量', '什麼', '東東', 'XD']"
: 機器人拿兩顆頭==,"[':', ' ', '機器', '人', '拿', '兩', '顆頭', '=', '=']"
: 兩邊都失智 猴子死了憑什麼接龍,"[':', ' ', '兩邊', '都', '失智', ' ', '猴子', '死', '了', '憑', '什麼', '接龍']"
: Caps沒魔 WutFace,"[':', ' ', 'Caps', '沒魔', ' ', 'WutFace']"
: 兩邊都失智,"[':', ' ', '兩邊', '都', '失智']"
: 這主播說caps沒魔到底是什麼鬼...,"[':', ' ', '這主播', '說', 'caps', '沒魔', '到底', '是', '什麼', '鬼', '...']"
: G2!,"[':', ' ', 'G2', '!']"
: elk對上歐美又像戰神一樣了 幹,"[':', ' ', 'elk', '對', '上', '歐美', '又', '像', '戰神', '一樣', '了', ' ', '幹']"
: 輔助拿一堆頭,"[':', ' ', '輔助', '拿', '一堆', '頭']"
: 可悲這主播什麼素質阿,"[':', ' ', '可悲', '這主播', '什麼', '素質', '阿']"
: 牙膏沒磨亮,"[':', ' ', '牙膏', '沒', '磨亮']"
: G2有龍,"[':', ' ', 'G2', '有龍']"
: Craps,"[':', ' ', 'Craps']"
: Craps,"[':', ' ', 'Craps']"
: 對方打野在  怎麼打龍？ 勾引？,"[':', ' ', '對方', '打野', '在', ' ', ' ', '怎麼', '打龍', '？', ' ', '勾引', '？']"
: CAPS自殺吧,"[':', ' ', 'CAPS', '自殺', '吧']"
: CRAPS,"[':', ' ', 'CRAPS']"
: Craps,"[':', ' ', 'Craps']"
: GGGGGGGGGG,"[':', ' ', 'GGGGGGGGGG']"
: craps,"[':', ' ', 'craps']"
: Craps,"[':', ' ', 'Craps']"
: Craps,"[':', ' ', 'Craps']"
: caps.................我的天.....................,"[':', ' ', 'caps', '.................', '我', '的', '天', '.....................']"
: G2沒了,"[':', ' ', 'G2', '沒', '了']"
: 牙膏為啥不偷大樹大,"[':', ' ', '牙膏', '為', '啥', '不', '偷大樹大']"
: caps gg,"[':', ' ', 'caps', ' ', 'gg']"
: 沒了啊,"[':', ' ', '沒', '了', '啊']"
: 賊克剛剛還說爆露 支語警察要生氣了XD,"[':', ' ', '賊克', '剛剛', '還說', '爆露', ' ', '支語', '警察', '要', '生氣', '了', 'XD']"
: CRAPS,"[':', ' ', 'CRAPS']"
: 牙膏狀態居然比craps還好,"[':', ' ', '牙膏', '狀態', '居然', '比', 'craps', '還好']"
: 這酒桶不會玩 剛炸回塔下有機會拚殺,"[':', ' ', '這', '酒桶', '不會', '玩', ' ', '剛炸', '回塔下', '有', '機會', '拚', '殺']"
: CRAPS還不退役喔,"[':', ' ', 'CRAPS', '還不', '退役', '喔']"
: Caps已經只剩下入圍賽戰神了嗎QQ,"[':', ' ', 'Caps', '已經', '只', '剩下', '入', '圍賽', '戰神', '了', '嗎', 'QQ']"
: 風牆,"[':', ' ', '風牆']"
: 他想下一波河蟹偷吧,"[':', ' ', '他', '想', '下', '一波', '河蟹', '偷', '吧']"
: 刪除複數帽子跟韓三媽 緊急徵召單數腰子跟扛三發,"[':', ' ', '刪除', '複', '數', '帽子', '跟', '韓三媽', ' ', '緊急', '徵召', '單數', '腰子', '跟', '扛', '三發']"
: 帽子現在是G2的突破口,"[':', ' ', '帽子', '現在', '是', 'G2', '的', '突破口']"
: caps還是玩滷蛋比較好,"[':', ' ', 'caps', '還是', '玩', '滷', '蛋', '比', '較', '好']"
: craps,"[':', ' ', 'craps']"
: Caps已經比爾森化了  沒救,"[':', ' ', 'Caps', '已經', '比爾森化', '了', ' ', ' ', '沒救']"
: 昨天就說 根本不是播錯的問題 賊客一堆講錯比u5離譜,"[':', ' ', '昨天', '就', '說', ' ', '根本', '不是', '播錯', '的', '問題', ' ', '賊', '客', '一堆', '講錯', '比', 'u5', '離譜']"
: 賊克又在加自己見解搶話了= =,"[':', ' ', '賊', '克', '又', '在', '加', '自己', '見解', '搶', '話', '了', '=', ' ', '=']"
: 多了 他也不會像u5一樣被當狗噴,"[':', ' ', '多', '了', ' ', '他', '也', '不會', '像', 'u5', '一樣', '被', '當狗噴']"
: 這招好強 保夾,"[':', ' ', '這招', '好強', ' ', '保夾']"
: 這麼硬要喔,"[':', ' ', '這麼', '硬', '要', '喔']"
: 樹人檢頭= =,"[':', ' ', '樹人', '檢頭', '=', ' ', '=']"
: 可惜頭給到Yike,"[':', ' ', '可惜', '頭給', '到', 'Yike']"
: 保夾欸,"[':', ' ', '保夾', '欸']"
: 貿凱搭機器人還挺靠盃的欸,"[':', ' ', '貿凱', '搭', '機器', '人', '還挺', '靠', '盃', '的', '欸']"
: 賊克愛自己亂分析啊,"[':', ' ', '賊克愛', '自己', '亂', '分析', '啊']"
: 這個COMBO好絕望喔 沒得跑,"[':', ' ', '這個', 'COMBO', '好', '絕望', '喔', ' ', '沒得', '跑']"
: U5是硬要5速嘴還有講梗講不清楚卡詞,"[':', ' ', 'U5', '是', '硬', '要', '5', '速嘴', '還有', '講梗講', '不', '清楚', '卡詞']"
: mikyx笑死,"[':', ' ', 'mikyx', '笑', '死']"
: Bait啊,"[':', ' ', 'Bait', '啊']"
: 畫面很亂,"[':', ' ', '畫面', '很', '亂']"
: No damage,"[':', ' ', 'No', ' ', 'damage']"
: 滑倒,"[':', ' ', '滑倒']"
: 沒了 GG88,"[':', ' ', '沒', '了', ' ', 'GG88']"
: CRAPS,"[':', ' ', 'CRAPS']"
: 完全沒傷害 可憐,"[':', ' ', '完全', '沒傷害', ' ', '可憐']"
: 笑死,"[':', ' ', '笑', '死']"
: CAPS真的笑死 到底能多爛,"[':', ' ', 'CAPS', '真的', '笑', '死', ' ', '到底', '能多爛']"
: 為啥G2打不同邊,"[':', ' ', '為', '啥', 'G2', '打', '不同', '邊']"
: craps,"[':', ' ', 'craps']"
: Caps好爛…,"[':', ' ', 'Caps', '好爛', '…']"
: 這牙膏真的是我來我也行==,"[':', ' ', '這', '牙膏', '真的', '是', '我', '來', '我', '也', '行', '=', '=']"
: 準,"[':', ' ', '準']"
: CAPS剛才死那波太虧了 傷害根本不夠,"[':', ' ', 'CAPS', '剛才', '死', '那', '波太虧', '了', ' ', '傷害', '根本', '不夠']"
: 這兩隊都好醜,"[':', ' ', '這兩隊', '都', '好醜']"
: G2好爛,"[':', ' ', 'G2', '好爛']"
: G2怎麼那麼醜阿==,"[':', ' ', 'G2', '怎麼', '那麼', '醜阿', '=', '=']"
: 笑了 火箭,"[':', ' ', '笑', '了', ' ', '火箭']"
